nusr,collectiveThroughput,averageQueueLength,packetDropProb,averageWaitingTime,averageWindowSize,timeoutProb
##@@ 1
################################## users range ############################
1,727.9879841642172,0.0+-0.0,0.0,0.0,,
2,1551.3717686876178,0.015237556041404723+-4.5877740172861544E-4,0.0,8.796130032818102E-8,134.1190537654764+-0.30702124707911504,0.0
3,2376.4478024120845,0.06579714599409522+-7.530907890969898E-4,0.0,1.6357357585330668E-7,138.0662926202963+-0.24371953531824578,0.0
4,3197.476139633848,0.15745711618315586+-0.002243755980222958,0.0,3.7276733995873325E-7,140.01803297323346+-0.2641624240925132,0.0
5,4014.4068828998625,0.3199315292967451+-0.0038242992182534233,0.0,6.312301535493199E-7,140.78821223999466+-0.6138691177153002,0.0
6,4825.638000168397,0.6125642957919468+-0.005239555091333242,0.0,7.506084648640627E-7,141.5009110538692+-0.2766601107352582,0.0
7,5642.368372888445,1.2671454472023398+-0.017850191416933576,0.0,2.437302573816906E-6,141.99126473578895+-0.30351708945817685,0.0
8,6441.166956374858,3.1974239611601685+-0.05623308824129251,0.0,8.017230072845864E-6,142.09763609171603+-0.4085035763423977,0.0
9,6629.9431916147405,55.21990679119464+-2.0793149916626734,0.0018307820308355934,2.9790507949120274E-4,25.108378703579202+-2.9726400258510353,0.0024614955851797013
10,6734.705222232355,59.17094021082587+-0.8872771517269417,0.0018390238955596457,1.260459996673629E-4,20.345723571163504+-1.4066653199084342,0.001752923018916069
11,6803.794046610279,59.03014781036444+-0.640299725548161,0.0011771593143480076,9.066232622178322E-5,15.62526227482149+-3.6332181693916876,0.0038234819948400234
12,6833.694016453128,59.51117112541016+-0.6833478082263638,0.001811733102746059,9.679406152725274E-5,14.02002440472829+-4.332292245345897,0.0045202191374501075
13,6850.3533249908905,59.452662622211314+-0.53800557660856,0.002260524916592921,7.615161274981494E-5,15.063890832704137+-3.278543516291814,0.0037656932191587112
14,6840.677877757163,58.94315690733349+-0.7491081208524326,0.0010904349064433261,1.0623973628699745E-4,13.365039837766187+-3.0491502282777314,0.0036139773532001557
15,6878.442507138782,59.552025028923765+-0.5863974461689292,0.001491417625847705,8.355303750275571E-5,13.958891901815974+-2.6700452366892247,0.0033711693032533845
